,hour_,normal_ratio,eld_ratio,transfer_time1,avg_time1,full_price1,via_stations1,hourly_cnt1,transfer_time2,avg_time2,full_price2,via_stations2,hourly_cnt2,transfer_time3,avg_time3,full_price3,via_stations3,hourly_cnt3,transfer_time4,avg_time4,full_price4,via_stations4,hourly_cnt4,transfer_time5,avg_time5,full_price5,via_stations5,hourly_cnt5
0,7,0.8571428571428571,0.1428571428571428,0,6.467000000000001,2.0,2.0,6,0,8.0368,2.0,2.0,4,0.0,7.186363636363637,2.0,2.0,11.0,0.0,6.7002500000000005,2.0,2.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,11,0.3333333333333333,0.6666666666666666,0,17.00566666666667,1.2,3.0,6,0,18.5066,2.0,3.0,8,0.0,15.744333333333339,2.0,2.0,4.0,0.0,16.85,2.0,4.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,9,0.03571428571428571,0.9642857142857144,0,3.14175,0.0,1.0,3,0,2.8055,0.0,1.0,7,0.0,3.6915,2.0,1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,7,0.2962962962962963,0.7037037037037037,0,8.630666666666668,2.0,3.0,11,0,11.217,0.0,3.0,3,0.0,7.444333333333334,2.0,3.0,10.0,0.0,8.669666666666666,1.0,3.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,8,0.8918918918918919,0.1081081081081081,0,9.9125,2.0,2.0,3,0,10.217,1.0,2.0,4,0.0,7.629,1.0,2.0,6.0,0.0,6.0451428571428565,2.0,1.0,8.0,0.0,9.61657142857143,1.0,2.0,8.0
0,8,0.7555555555555555,0.2444444444444444,0,9.27925,2.0,1.0,3,0,10.845999999999998,2.0,1.0,8,0.0,9.833,1.2,1.0,6.0,0.0,10.525,2.0,1.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,20,0.8666666666666667,0.1333333333333333,0,13.75025,2.0,5.0,5,0,14.25,2.0,5.0,6,0.0,13.18,2.0,5.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,7,0.9574468085106383,0.0425531914893617,0,4.4,2.0,2.0,3,0,3.6815555555555566,2.0,2.0,5,0.0,3.167,2.0,2.0,6.0,0.0,3.32925,2.0,2.0,6.0,0.0,3.3835,1.0,2.0,4.0
0,6,0.8823529411764706,0.1176470588235294,0,6.355666666666667,2.0,4.0,14,0,6.4915,1.0,4.0,4,0.0,7.291499999999999,2.0,4.0,6.0,0.0,5.3415,0.5,4.0,13.0,0.0,6.175,2.0,4.0,1.0
0,9,0.4848484848484849,0.5151515151515151,0,15.95,1.0,4.0,9,0,21.0415,2.0,7.0,4,0.0,15.71875,2.0,4.0,11.0,0.0,15.22422222222222,2.0,4.0,9.0,0.0,15.867,2.0,4.0,3.0
0,15,0.4285714285714285,0.5714285714285714,0,3.95,0.0,1.0,7,0,2.25,2.0,1.0,8,0.0,4.466666666666666,2.0,1.0,5.0,0.0,3.6915,2.0,1.0,8.0,0.0,3.6166666666666667,2.0,1.0,7.0
0,9,0.09090909090909093,0.9090909090909092,0,9.6445,2.0,6.0,3,0,13.3188125,2.0,6.0,5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,7,0.8148148148148148,0.1851851851851851,0,68.99433333333333,2.0,15.0,8,0,30.6299,2.0,8.0,13,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,17,0.3666666666666666,0.6333333333333333,0,1.983,2.0,1.0,4,0,2.2915,2.0,1.0,8,0.0,2.527888888888889,2.0,1.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,9,0.8421052631578947,0.1578947368421052,0,11.128,2.0,5.0,4,0,11.7,2.0,5.0,8,0.0,11.7,2.0,5.0,3.0,0.0,12.6066,2.0,5.0,6.0,0.0,11.81666666666667,2.0,5.0,3.0
0,9,0.9285714285714286,0.07142857142857142,0,17.6375,2.0,7.0,10,0,19.42925,2.0,7.0,8,0.0,17.35,2.0,7.0,5.0,0.0,16.354,2.0,7.0,12.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,7,0.9523809523809524,0.047619047619047616,0,8.1915,2.0,2.0,9,0,10.4032,2.0,2.0,5,0.0,12.09,2.0,2.0,6.0,0.0,9.1,2.0,1.0,10.0,0.0,9.5,2.0,2.0,7.0
0,8,0.1,0.9,0,16.125,2.0,5.0,7,0,8.992,0.0,2.0,4,0.0,6.9835,2.0,2.0,5.0,0.0,7.9099999999999975,0.0,2.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,11,0.03448275862068965,0.9655172413793104,0,15.41,2.0,2.0,6,0,14.4684,0.0,2.0,9,0.0,15.273875,0.0,2.0,5.0,0.0,14.68481818181818,1.0,2.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,16,0.08,0.92,0,1.55,0.0,1.0,5,0,1.7280000000000002,0.0,1.0,4,0.0,2.8335,0.0,1.0,7.0,0.0,1.9664,2.0,1.0,6.0,0.0,1.3330000000000002,1.0,1.0,7.0
