route_list,hour_,route_id,route_dir,origin_station_name,origin_station_id,destination_station_name,destination_station_id,transfer_time,vehicle_flag_list,cc,avg_time,origin_date,full_price,origin_hour,via_stations,hourly_cnt,normal_cnt,normal_ratio,eld_cnt,eld_ratio,cnt_rnk,od_ratio
3610#0,12,3610,0,同和站,10000407,黄庄站,10005370,0,0,14,17.7965,2022-03-31,2.0,2022-03-31#12,7.0,4,31,0.8857142857142857,4,0.1142857142857143,1,0.6086956521739131
1390#1,09,1390,1,同德乡（地铁同德）站,10008931,上步总站,10000396,0,0,31,4.138161290322581,2022-03-31,1.2,2022-03-31#09,2.0,9,3,0.08571428571428572,32,0.9142857142857144,1,1.0
471#1,18,471,1,同德围站,10000397,德康路站,10002387,0,0,6,5.377833333333332,2022-03-31,2.0,2022-03-31#18,1.0,6,96,0.9896907216494846,1,0.01030927835051546,3,0.1621621621621622
1370#0,18,1370,0,同德围站,10000397,德康路站,10002387,0,0,5,3.6868,2022-03-31,2.0,2022-03-31#18,1.0,5,96,0.9896907216494846,1,0.01030927835051546,4,0.1351351351351351
373#1,18,373,1,同德围站,10000397,德康路站,10002387,0,0,10,4.751599999999999,2022-03-31,2.0,2022-03-31#18,1.0,11,96,0.9896907216494846,1,0.01030927835051546,2,0.2702702702702703
2290#1,18,2290,1,同德围站,10000397,德康路站,10002387,0,0,11,5.457545454545454,2022-03-31,2.0,2022-03-31#18,1.0,9,96,0.9896907216494846,1,0.01030927835051546,1,0.2972972972972973
7770#0,18,7770,0,同德围站,10000397,德康路站,10002387,0,0,5,4.7336,2022-03-31,2.0,2022-03-31#18,1.0,6,96,0.9896907216494846,1,0.01030927835051546,5,0.1351351351351351
292#0,07,292,0,员村西街中站,10001369,员村西街站,10001350,0,0,2,2.825,2022-03-31,0.0,2022-03-31#07,1.0,11,14,0.358974358974359,25,0.6410256410256411,4,0.06666666666666667
298#0,07,298,0,员村西街中站,10001369,员村西街站,10001350,0,0,3,3.072333333333333,2022-03-31,0.0,2022-03-31#07,1.0,5,14,0.358974358974359,25,0.6410256410256411,3,0.1
1110#0,07,1110,0,员村西街中站,10001369,员村西街站,10001350,0,0,12,3.959833333333334,2022-03-31,2.0,2022-03-31#07,2.0,11,14,0.358974358974359,25,0.6410256410256411,2,0.4
